Date,Strategy_ret,Cumulative_ret,Z-Score,Beta
2023-06-27,-0.0,1.4595716393754052,0.39514173255515,-0.010993187112687333
2023-06-28,-0.0,1.4595716393754052,0.48753752141736395,-0.015437181038010589
2023-06-29,-0.0,1.4595716393754052,0.5641584335884675,-0.01967768088017817
2023-06-30,0.0,1.4595716393754052,0.6407744514755128,-0.022896511188451096
2023-07-03,-0.0,1.4595716393754052,0.6651950488219311,-0.024888714457162703
2023-07-05,-0.0,1.4595716393754052,0.6583402210827207,-0.0258644197232807
2023-07-06,-0.0,1.4595716393754052,0.6002733856738723,-0.025683021129186037
2023-07-07,-0.0,1.4595716393754052,0.5927226530039921,-0.02717020709611903
2023-07-10,0.0,1.4595716393754052,0.5898961493208046,-0.02779787945106231
2023-07-11,0.0,1.4595716393754052,0.5745033018063559,-0.027481335495726553
2023-07-12,-0.0,1.4595716393754052,0.558461328859887,-0.027488799203440474
2023-07-13,0.0,1.4595716393754052,0.5304641740495487,-0.02719121452511125
2023-07-14,0.0,1.4595716393754052,0.5137960327780269,-0.02674694809054165
2023-07-17,-0.0,1.4595716393754052,0.47107585828315457,-0.026474472763630234
2023-07-18,0.0,1.4595716393754052,0.47435592893721823,-0.027040953519543956
2023-07-19,0.0,1.4595716393754052,0.4634925540938583,-0.027291630540199424
2023-07-20,0.0,1.4595716393754052,0.44493561326235953,-0.026894315836545744
2023-07-21,0.0,1.4595716393754052,0.4273681206039633,-0.026141823331050855
2023-07-24,0.0,1.4595716393754052,0.35874667873983773,-0.024294701217709484
2023-07-25,-0.0,1.4595716393754052,0.25335094915875433,-0.02259821430835745
2023-07-26,0.0,1.4595716393754052,0.19478056004287173,-0.021622084510837962
2023-07-27,-0.0,1.4595716393754052,0.07197239998597862,-0.020426525945235002
2023-07-28,-0.0,1.4595716393754052,0.006400448693228123,-0.02008673986113408
2023-07-31,-0.0,1.4595716393754052,-0.05541383861832261,-0.019969485389048074
2023-08-01,-0.0,1.4595716393754052,-0.13424633975426342,-0.020521899424772047
2023-08-02,-0.0,1.4595716393754052,-0.17516838574521537,-0.021735872061055275
2023-08-03,-0.0,1.4595716393754052,-0.22344755072515718,-0.022642588782889106
