Pair,Static Beta,Rolling Beta Avg,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown,Win Rate
VOO-NVDA,1.766307696818552,4.156238196293635,-0.9139943228329127,-0.7538735123874065,1.8034785570198613,-0.4180107988825421,-0.9697819206606854,0.225
DIA-JPM,1.0470610184911067,1.2492269797919284,-0.17466494726716975,-0.10389238908730303,0.24784621929226808,-0.4191808508678111,-0.3550628476939772,0.22727272727272727
QQQ-NVDA,2.881421786262743,4.895591013102052,-0.999161346864351,-0.9825398861395506,2.3437316531388874,-0.4192202997402306,-1.0099241776865435,0.19772727272727272
SPY-NVDA,1.915599375658683,4.52339954523443,-0.9617112126992754,-0.8450018070078265,1.968962769965327,-0.42916088607541664,-0.9876046014374842,0.225
COP-WMT,1.5846571418797863,1.5344737942445807,-0.24412384284614985,-0.14779667064602842,0.3387399198053533,-0.4363131181319147,-0.4452888891767007,0.2
GS-COP,0.5132498783396382,0.5011625609084374,-0.25794733238505096,-0.15673766383684773,0.34232256642033615,-0.4578654147047681,-0.3964775104261411,0.23863636363636365
TGT-DIS,1.3601633116457674,1.0521700300202983,-0.2524478551663025,-0.1531721386908227,0.3337824354208098,-0.4588981397349859,-0.46308702274937114,0.25227272727272726
IWM-JPM,0.3558784385157657,1.0556049506000236,-0.1522614220188857,-0.09007242392761838,0.17886702516543423,-0.5035719906691037,-0.25272550313426206,0.19772727272727272
IWM-XOM,-0.31119809440706997,0.2432637563512648,-0.21460515426450133,-0.12893550415888044,0.25150340185593617,-0.5126590861492047,-0.4938664191552843,0.30454545454545456
VOO-JPM,1.4614696975549673,1.6319187691910446,-0.2669309674655327,-0.16258655794853705,0.3131684427289316,-0.5191664796483555,-0.43063725349584725,0.2318181818181818
IWM-PEP,-0.05286205432425725,0.3716571509912755,-0.15054444558509106,-0.08901977677542672,0.17030259754480692,-0.5227153200173911,-0.17050712393916118,0.21818181818181817
SPY-JPM,1.5864847435385632,1.7766816643374457,-0.2965341192383445,-0.18208097972672144,0.3447117268221509,-0.5282123164340838,-0.46831745345895065,0.2340909090909091
UNH-HD,-0.115547907952128,0.256065055039781,-0.1660901516620905,-0.09858412631669111,0.18588123026130182,-0.5303608448152988,-0.2761315127515882,0.2159090909090909
MSFT-PFE,-4.767934498702628,-0.9011482889180592,-0.9111916890663929,-0.7493219263500559,1.399138056192948,-0.5355596776410753,-0.948149252497765,0.30227272727272725
